actor_loss,discrete_loss,frame,logits_entropy,offset_loss,step,total_time
1.7021077871322632,1.5937196016311646,0,2.0791053771972656,0.10838814778253436,0.0,2.7407538890838623
1.6112566773254093,1.5436378121376038,100,2.076335244178772,0.06882374333508778,100.0,3.306199073791504
1.4556977477404152,1.3915638530254364,200,2.026211601495743,0.06520699610700831,200.0,3.8481929302215576
1.3442726465735104,1.273782912492752,300,1.9047531878948212,0.07011993510241155,300.0,4.391772747039795
1.2648701195669647,1.2004260921478271,400,1.8497423541545868,0.06439667561789975,400.0,4.929718971252441
1.2392250806978433,1.169570882320404,500,1.823340233564377,0.07026092895830516,500.0,5.4712958335876465
1.1883425240469452,1.1216799318790436,600,1.7946005249023438,0.06705096451332793,600.0,6.106168746948242
1.1615755569816817,1.0927446281909943,700,1.7643516564369202,0.06851451427792199,700.0,7.833709716796875
1.143489684208785,1.0790828937292098,800,1.7445053553581238,0.06448967861069832,800.0,9.876490831375122
1.129186217147525,1.0645991140604019,900,1.7223781204223634,0.06428259622771293,900.0,10.740062952041626
1.1159533061603508,1.0498398298025131,1000,1.707279577255249,0.06581493993871845,1000.0,11.645420789718628
1.1058933894232947,1.0406656670570373,1100,1.6960549926757813,0.06492646636615973,1100.0,13.266311883926392
1.1015055728430796,1.0288360518217088,1200,1.685143666267395,0.07220525189768523,1200.0,14.309465885162354
1.0914829001568331,1.0249555593729018,1300,1.6776390504837035,0.06666412265622057,1300.0,15.224758863449097
1.0653679364978677,1.0026223635673523,1400,1.6573161721229552,0.062085825513349846,1400.0,16.229026079177856
1.0754774590530018,1.0106934195756911,1500,1.6610529506206513,0.06547417002730072,1500.0,17.233022928237915
1.0544060899479555,0.9873582142591476,1600,1.6452025806903838,0.06630257834331132,1600.0,18.343591928482056
1.055967120840998,0.9877402651309967,1700,1.6420030319690704,0.06788458915252704,1700.0,19.668192863464355
1.0414217698692094,0.9808983516693115,1800,1.6406408512592316,0.06123147250036709,1800.0,20.666850805282593
1.0364879623498067,0.9702196037769317,1900,1.6289227497577667,0.06525345578847919,1900.0,21.57575488090515
1.0391279364576433,0.972797816991806,2000,1.630858806371689,0.0653977638867218,2000.0,25.336934804916382
1.0213939559341658,0.95623854637146,2100,1.6201610362529755,0.0645631987717934,2100.0,25.94808292388916
1.0199747475066987,0.9541248339414596,2200,1.6102757608890534,0.06522145138296764,2200.0,26.688626766204834
1.0246095197035534,0.9563546824455261,2300,1.6157792532444,0.06795233045704663,2300.0,27.605591773986816
1.0008793963064062,0.9376049888134003,2400,1.6047305297851562,0.06257634697249159,2400.0,28.48439383506775
0.9997328136226918,0.9355257576704026,2500,1.5990606772899627,0.06394929067755584,2500.0,29.38441491127014
1.0074337366783972,0.9365739518404007,2600,1.600002030134201,0.07018915323715191,2600.0,30.253418922424316
0.980155344056611,0.9147311538457871,2700,1.5876990497112273,0.06661070026166271,2700.0,31.19654679298401
0.985144054535592,0.9236298155784607,2800,1.5923017263412476,0.06165298390260432,2800.0,32.14191269874573
0.9851243029726614,0.9170995807647705,2900,1.5844117784500122,0.06757575576921226,2900.0,33.11843395233154
0.9728735047991913,0.9059163159132004,3000,1.5812421226501465,0.0665957478195196,3000.0,34.09329891204834
0.9644247777391188,0.899258291721344,3100,1.5753492295742035,0.0659416268026689,3100.0,35.05579900741577
0.9722072606039519,0.9012654101848603,3200,1.5732854759693147,0.07096973931766115,3200.0,36.16556692123413
0.9516952864014276,0.8841838014125823,3300,1.5634610438346863,0.06753018555173185,3300.0,37.246349811553955
0.9338421697663789,0.87249043405056,3400,1.5591364789009095,0.061944824788952246,3400.0,38.25740885734558
0.935965096006299,0.8672159403562546,3500,1.5560626816749572,0.06784779236477334,3500.0,39.26993989944458
0.9227503237157765,0.8567458605766296,3600,1.5466736137866974,0.0664461056876462,3600.0,40.24681377410889
0.9085539372840731,0.8491045469045639,3700,1.5436936450004577,0.05880572994647082,3700.0,41.091469049453735
0.9074000539165912,0.8446449738740921,3800,1.5397657656669617,0.06301888207963202,3800.0,41.94351387023926
0.9074203885427796,0.8395919609069824,3900,1.5399395108222962,0.06822951287904289,3900.0,42.8250207901001
0.8936689602266444,0.8266126590967179,4000,1.5278218722343444,0.06765944565268,4000.0,44.62377190589905
0.8844607625857438,0.8207167291641235,4100,1.5277379369735717,0.06445441505638883,4100.0,45.20117497444153
0.8806978216265687,0.817611300945282,4200,1.5227129781246185,0.06272751309006708,4200.0,46.056965827941895
0.8842952452083626,0.8197410529851914,4300,1.5261886596679688,0.06405236163118389,4300.0,46.88457798957825
0.8678903780361213,0.8028717893362045,4400,1.5176507019996643,0.06604571685602423,4400.0,47.76550769805908
0.8642484008675755,0.7968071681261063,4500,1.5132512497901915,0.06780610424175393,4500.0,48.762640714645386
0.8516173693213133,0.7867416042089462,4600,1.5098964643478394,0.06472571521589998,4600.0,49.932992935180664
0.8416199725453216,0.7772789192199707,4700,1.5008022284507752,0.06337853461445775,4700.0,50.96740674972534
0.830667771915398,0.767280495762825,4800,1.4950273609161377,0.06287669140147045,4800.0,52.328550815582275
0.8250976080941682,0.7569422459602356,4900,1.4843903505802154,0.06866548296238761,4900.0,53.255231857299805
0.8152928210721158,0.7513149917125702,5000,1.4893707370758056,0.06370368716306984,5000.0,54.195984840393066
0.8135276602046324,0.7470317530632019,5100,1.4782637608051301,0.06671977721271105,5100.0,55.12827968597412
0.8003520275106525,0.7334501576423645,5200,1.4734276974201201,0.06700068264035508,5200.0,55.987154960632324
