actor_loss,frame,step,total_time
44.001434326171875,0,0.0,2.963505268096924
35.69915187949001,100,100.0,3.401017189025879
19.172433258283256,200,200.0,3.799978017807007
8.688740413967926,300,300.0,4.218915224075317
4.656017053245318,400,400.0,4.614023208618164
2.930879517356948,500,500.0,5.005547046661377
2.0187301387881287,600,600.0,5.3956663608551025
1.5650820088858652,700,700.0,5.798694133758545
1.1176567894987541,800,800.0,6.188059329986572
0.8365711705519421,900,900.0,6.581663131713867
0.6143317604714101,1000,1000.0,6.971350193023682
0.41834460626734365,1100,1100.0,7.360453128814697
0.2774115947287272,1200,1200.0,7.746473073959351
0.06166952332057575,1300,1300.0,8.146107196807861
-0.06087643101737641,1400,1400.0,8.563307046890259
-0.2171888074809962,1500,1500.0,9.10119915008545
-0.3351293204001861,1600,1600.0,9.733163118362427
-0.4734281812711517,1700,1700.0,10.354466199874878
-0.5290656209287077,1800,1800.0,10.998898983001709
-0.616180762943655,1900,1900.0,11.632818937301636
-0.6878873461691459,2000,2000.0,12.598103046417236
-0.7230748581414176,2100,2100.0,13.084695100784302
-0.7827227490373178,2200,2200.0,13.720458030700684
-0.803027054460922,2300,2300.0,14.352308988571167
-0.8383023302153786,2400,2400.0,14.966696977615356
-0.8470028506057097,2500,2500.0,15.668844223022461
-0.9113439430694769,2600,2600.0,16.296142101287842
-0.9282834789540508,2700,2700.0,16.931543111801147
-0.9297792474822243,2800,2800.0,17.55598020553589
-0.9470191751376237,2900,2900.0,18.18728518486023
-0.9702633712256309,3000,3000.0,18.82678723335266
-0.9650413311354005,3100,3100.0,19.449827194213867
-0.9403092666427688,3200,3200.0,20.091634035110474
-0.9728345047719408,3300,3300.0,20.709870100021362
-0.9838877987153459,3400,3400.0,21.342031240463257
-0.9833221999135348,3500,3500.0,21.962679147720337
-1.0165536433163256,3600,3600.0,22.59345006942749
-1.0166697112640533,3700,3700.0,23.24338412284851
-1.0560437488083791,3800,3800.0,23.876118183135986
-1.1079011807347288,3900,3900.0,24.501928091049194
-1.051145202747666,4000,4000.0,25.490235328674316
-1.068757692776104,4100,4100.0,25.962148189544678
-1.0803672995897804,4200,4200.0,26.598015069961548
-1.113155468265609,4300,4300.0,27.233816146850586
-1.1672485075374641,4400,4400.0,27.85294008255005
-1.1047252151045468,4500,4500.0,28.4820339679718
-1.134967855887838,4600,4600.0,29.08670711517334
-1.1207765506045653,4700,4700.0,29.73431921005249
-1.151628841858099,4800,4800.0,30.350964069366455
-1.189887263987324,4900,4900.0,30.98813533782959
-1.1766590653079572,5000,5000.0,31.61009907722473
-1.206247605899773,5100,5100.0,32.2373902797699
-1.1918328729006324,5200,5200.0,32.85860729217529
-1.1923831418009088,5300,5300.0,33.49676322937012
-1.1989726837318722,5400,5400.0,34.134711265563965
-1.1991667918639608,5500,5500.0,35.07272815704346
-1.1820334597389297,5600,5600.0,35.726279973983765
-1.2124995483030188,5700,5700.0,36.34953498840332
-1.2050004288701728,5800,5800.0,36.986449241638184
-1.1799712983688506,5900,5900.0,37.64120316505432
-1.227695086804947,6000,6000.0,38.67949819564819
-1.1819491781810723,6100,6100.0,39.116525173187256
-1.2218804943679582,6200,6200.0,39.746652364730835
-1.2368291946921017,6300,6300.0,40.39041614532471
-1.2184708714485168,6400,6400.0,41.04137301445007
-1.2035555544466074,6500,6500.0,41.66279315948486
-1.2306089542879917,6600,6600.0,42.28693628311157
-1.2325337670817234,6700,6700.0,42.907209157943726
-1.1996897898688175,6800,6800.0,43.53599715232849
-1.2120978737821673,6900,6900.0,44.16331911087036
-1.208837362799314,7000,7000.0,44.800748109817505
-1.2409026746702667,7100,7100.0,45.42344403266907
-1.2478883909707021,7200,7200.0,46.0550971031189
-1.2292126541090485,7300,7300.0,46.677138328552246
-1.2337199777069658,7400,7400.0,47.29742622375488
-1.1762293524081164,7500,7500.0,47.943711042404175
-1.2344687085340518,7600,7600.0,48.5729022026062
-1.2560519062646545,7700,7700.0,49.20294213294983
-1.2580761219015215,7800,7800.0,49.82914209365845
-1.2120084845193542,7900,7900.0,50.55976915359497
-1.2034840967395517,8000,8000.0,51.57032513618469
-1.2752646089780448,8100,8100.0,52.013055086135864
-1.250991971776037,8200,8200.0,52.64069104194641
-1.2363599007672603,8300,8300.0,53.270111083984375
-1.244599706465655,8400,8400.0,53.909327268600464
-1.2457277355807843,8500,8500.0,54.526123046875
