actor_loss,frame,step,total_time
45.574676513671875,0,0.0,3.095568895339966
32.683643265525895,100,100.0,3.670041084289551
23.500991103672746,200,200.0,4.207635879516602
22.38032867884872,300,300.0,4.75628399848938
21.621918970995612,400,400.0,5.530907869338989
21.251052648714275,500,500.0,6.382211208343506
20.854561286397498,600,600.0,7.233283996582031
20.57793709783271,700,700.0,8.13208818435669
20.17059031571492,800,800.0,8.998769998550415
19.800954573225265,900,900.0,10.219449758529663
19.344510465565293,1000,1000.0,11.349225044250488
18.95416524150584,1100,1100.0,13.01860785484314
18.49122693279002,1200,1200.0,14.180007934570312
18.092331555810304,1300,1300.0,15.107919931411743
17.60063565131461,1400,1400.0,16.041600942611694
17.373366610838634,1500,1500.0,16.912189960479736
16.966441683249897,1600,1600.0,17.862212896347046
16.648174389754193,1700,1700.0,18.730044841766357
16.33960731430809,1800,1800.0,19.588751792907715
15.946177973605618,1900,1900.0,20.48319697380066
15.667179957474813,2000,2000.0,22.340676069259644
15.313920530942408,2100,2100.0,22.964394092559814
14.757935505102177,2200,2200.0,23.872073888778687
14.291536586119397,2300,2300.0,24.861737966537476
13.706083439364292,2400,2400.0,25.75158405303955
13.153438586999874,2500,2500.0,26.666738033294678
12.654573478321037,2600,2600.0,27.575050115585327
11.958423302905395,2700,2700.0,28.52539086341858
11.54289429730708,2800,2800.0,29.45000410079956
10.811226061075041,2900,2900.0,30.450958013534546
10.160943833908233,3000,3000.0,34.47155690193176
9.628900263569143,3100,3100.0,35.759763956069946
9.186728562458907,3200,3200.0,36.847025871276855
8.548205394556026,3300,3300.0,38.250617027282715
7.986270829002456,3400,3400.0,39.75880408287048
7.5467104109207,3500,3500.0,40.67377305030823
7.0813146959437,3600,3600.0,41.576711893081665
6.658408146093388,3700,3700.0,42.44544696807861
6.31359601256871,3800,3800.0,43.275017976760864
5.975133588998625,3900,3900.0,44.11070895195007
5.643177655663821,4000,4000.0,45.81989502906799
5.498725074352604,4100,4100.0,46.382209062576294
5.344322270686083,4200,4200.0,47.24986290931702
5.086848927016305,4300,4300.0,48.128467082977295
4.7689822711566885,4400,4400.0,48.9736168384552
4.707837645370181,4500,4500.0,49.82186198234558
4.4627599975850325,4600,4600.0,50.67775321006775
4.327249498650579,4700,4700.0,51.610507011413574
4.162223128989192,4800,4800.0,52.48535394668579
4.033253006415792,4900,4900.0,53.34162521362305
3.889964783545768,5000,5000.0,54.16857385635376
3.778243631419569,5100,5100.0,55.08510684967041
3.698350405929112,5200,5200.0,56.11833190917969
3.646592916828571,5300,5300.0,57.13648700714111
3.5229132364291957,5400,5400.0,58.093039989471436
3.570316782092104,5500,5500.0,59.29637312889099
3.3343164779172083,5600,5600.0,60.23172092437744
3.316437534766622,5700,5700.0,61.19754505157471
3.2462563113410874,5800,5800.0,62.1590530872345
3.164986826405667,5900,5900.0,63.03740382194519
3.185625371366444,6000,6000.0,64.6761589050293
3.0601878602906027,6100,6100.0,65.2723560333252
2.9687307459293026,6200,6200.0,66.12803411483765
2.8284892705407474,6300,6300.0,67.01425409317017
2.7466956872751216,6400,6400.0,67.90589809417725
2.782233922788412,6500,6500.0,68.77658009529114
2.7096431302552175,6600,6600.0,69.62954497337341
2.6310159569919698,6700,6700.0,70.4914779663086
2.6051719235901785,6800,6800.0,71.33984422683716
2.645898095451959,6900,6900.0,72.18478012084961
2.5135292145285275,7000,7000.0,73.07785201072693
2.4961776615369438,7100,7100.0,73.95146489143372
2.571965142051772,7200,7200.0,74.82742404937744
2.3943807169942573,7300,7300.0,75.67947793006897
2.451640771167113,7400,7400.0,76.52863216400146
2.3255693239740807,7500,7500.0,77.37244606018066
2.310104419689367,7600,7600.0,78.25049090385437
2.21119753559037,7700,7700.0,79.10458588600159
2.2299463200097036,7800,7800.0,79.95240497589111
2.2229056204899704,7900,7900.0,80.80420303344727
2.137203883416582,8000,8000.0,84.39519691467285
2.1670100199113977,8100,8100.0,84.92044997215271
2.136919859612342,8200,8200.0,85.44683814048767
2.0764971759059643,8300,8300.0,86.01859998703003
2.0535709840236325,8400,8400.0,86.8575849533081
1.9400229808127527,8500,8500.0,87.73498606681824
2.066297697548819,8600,8600.0,88.584969997406
1.9342328699508515,8700,8700.0,89.4372627735138
2.0123583680332295,8800,8800.0,90.29539203643799
1.8249443663228857,8900,8900.0,91.57178711891174
1.8746848360146626,9000,9000.0,92.98473596572876
1.8336530262880986,9100,9100.0,93.85372591018677
1.7320802648468774,9200,9200.0,94.77620697021484
1.808427095413208,9300,9300.0,95.71065402030945
1.7311037395260123,9400,9400.0,96.58710813522339
1.682442295079184,9500,9500.0,97.5256769657135
1.6836100167567187,9600,9600.0,98.37378692626953
1.735406741647437,9700,9700.0,99.21344423294067
1.6588611821136852,9800,9800.0,100.07875514030457
1.5766564772860838,9900,9900.0,100.96319603919983
1.606371321300469,10000,10000.0,102.59283685684204
1.5674628526857584,10100,10100.0,103.26114201545715
1.628291396811457,10200,10200.0,104.17517590522766
1.6718213351646272,10300,10300.0,105.05622410774231
1.5594716780256517,10400,10400.0,105.98052620887756
1.4771334148279511,10500,10500.0,106.86040496826172
1.4367402340516005,10600,10600.0,107.89862990379333
1.4346021641008924,10700,10700.0,109.01773595809937
1.3877254039934366,10800,10800.0,110.09702801704407
1.410080354402561,10900,10900.0,110.96401786804199
1.3869047988906946,11000,11000.0,111.89984583854675
1.448050595156037,11100,11100.0,112.79402017593384
1.3857129369631853,11200,11200.0,113.69123888015747
1.4258182686154206,11300,11300.0,114.59398818016052
1.2703514236329805,11400,11400.0,115.48733115196228
